@Rios559  #TeamPW refers to his public relations team you idiot. Have some respect for the dead. He was a very caring and charitable man.
@HuffingtonPost  Never watched these movies, but I'm sorry for a young guy losing his life.  Just starting to shine!  Drag.
@HuffingtonPost  condolence I'm so sad my favorite actor F6
@HuffingtonPost  h
@HuffingtonPost   So Sad... #RIPPaulWalker
@huffingtonpost  This must have a meaning. Paul Walker must have a Fast and Futious message for us. HaiyanYolanda Porsche death Philippines
@HuffingtonPost  we belong to God and to him shall we return
@HuffingtonPost .  Sincere condolence to the Walker Family on their lost . RIP brother
@HuffingtonPost  #RIPPaulWalker #Worstday
@HuffingtonPost  Condolences to his family and friends. RIP.
@HuffingtonPost  so sad
